#options: 380x288 fps=8090/1 timebase=1/8090 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=46 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=126 scenecut=1743 intra_refresh=0 rc_lookahead=40 rc=cbr mbtree=1 bitrate=8 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=8 vbv_bufsize=9074 nal_hrd=none filler=0 ip_ratio=0.01 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:69.00 aq:51.00 tex:74 mv:195 misc:99 imb:432 pmb:0 smb:0 d:- ref:;
in:1 out:1 type:P dur:2 cpbdur:2 q:33.14 aq:20.93 tex:43632 mv:2770 misc:110 imb:429 pmb:3 smb:0 d:- ref:0 ;
in:2 out:2 type:P dur:2 cpbdur:2 q:37.14 aq:28.02 tex:117 mv:21 misc:134 imb:1 pmb:2 smb:429 d:- ref:0 ;
in:3 out:3 type:P dur:2 cpbdur:2 q:41.14 aq:35.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:4 out:4 type:P dur:2 cpbdur:2 q:45.14 aq:39.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:5 out:5 type:P dur:2 cpbdur:2 q:49.14 aq:43.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:6 out:6 type:P dur:2 cpbdur:2 q:53.14 aq:48.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:7 out:7 type:P dur:2 cpbdur:2 q:57.14 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:8 out:8 type:P dur:2 cpbdur:2 q:61.14 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:9 out:9 type:P dur:2 cpbdur:2 q:65.14 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:10 out:10 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:11 out:11 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:12 out:12 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:13 out:13 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:14 out:14 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:15 out:15 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:16 out:16 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:17 out:17 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:18 out:18 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:19 out:19 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:20 out:20 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:21 out:21 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:22 out:22 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:23 out:23 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:24 out:24 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:25 out:25 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:26 out:26 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:27 out:27 type:P dur:2 cpbdur:2 q:69.00 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
