#options: 380x288 fps=72/1 timebase=1/72 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=54 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=81 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=cbr mbtree=1 bitrate=94 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=94 vbv_bufsize=64 nal_hrd=none filler=0 ip_ratio=0.02 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:69.00 aq:51.00 tex:74 mv:195 misc:99 imb:432 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:58.61 aq:47.06 tex:1496 mv:767 misc:217 imb:245 pmb:8 smb:179 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:67.36 aq:42.00 tex:1 mv:2 misc:117 imb:0 pmb:1 smb:431 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:67.36 aq:44.00 tex:1 mv:2 misc:117 imb:0 pmb:1 smb:431 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:67.36 aq:44.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:53.74 aq:43.94 tex:1059 mv:617 misc:276 imb:118 pmb:9 smb:305 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:59.75 aq:44.00 tex:0 mv:0 misc:128 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:59.70 aq:45.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:59.80 aq:47.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:48.04 aq:43.17 tex:900 mv:489 misc:323 imb:84 pmb:23 smb:325 d:- ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:53.93 aq:46.36 tex:27 mv:5 misc:128 imb:0 pmb:1 smb:431 d:- ref:0 ;
in:9 out:11 type:b dur:2 cpbdur:2 q:53.92 aq:48.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:53.93 aq:48.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:13 out:13 type:P dur:2 cpbdur:2 q:47.53 aq:42.27 tex:276 mv:109 misc:191 imb:12 pmb:6 smb:414 d:- ref:0 ;
in:14 out:14 type:P dur:2 cpbdur:2 q:45.04 aq:39.49 tex:2326 mv:667 misc:367 imb:71 pmb:39 smb:322 d:- ref:0 ;
in:18 out:15 type:P dur:2 cpbdur:2 q:43.82 aq:38.28 tex:1186 mv:476 misc:330 imb:46 pmb:26 smb:360 d:- ref:0 ;
in:16 out:16 type:B dur:2 cpbdur:2 q:45.04 aq:47.00 tex:0 mv:14 misc:146 imb:0 pmb:4 smb:428 d:- ref:0 ;
in:15 out:17 type:b dur:2 cpbdur:2 q:45.09 aq:48.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:17 out:18 type:b dur:2 cpbdur:2 q:45.04 aq:48.00 tex:1 mv:5 misc:122 imb:0 pmb:2 smb:430 d:- ref:0 ;
in:22 out:19 type:P dur:2 cpbdur:2 q:45.84 aq:42.43 tex:139 mv:97 misc:180 imb:5 pmb:9 smb:418 d:- ref:0 ;
in:20 out:20 type:B dur:2 cpbdur:2 q:45.79 aq:47.00 tex:0 mv:4 misc:132 imb:0 pmb:2 smb:430 d:- ref:0 ;
in:19 out:21 type:b dur:2 cpbdur:2 q:45.76 aq:49.00 tex:1 mv:6 misc:113 imb:0 pmb:2 smb:430 d:- ref:0 ;
in:21 out:22 type:b dur:2 cpbdur:2 q:45.81 aq:50.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:26 out:23 type:P dur:2 cpbdur:2 q:46.48 aq:38.03 tex:319 mv:242 misc:215 imb:16 pmb:11 smb:405 d:- ref:0 ;
in:24 out:24 type:B dur:2 cpbdur:2 q:46.47 aq:46.42 tex:43 mv:66 misc:147 imb:1 pmb:6 smb:425 d:- ref:0 ;
in:23 out:25 type:b dur:2 cpbdur:2 q:46.46 aq:50.00 tex:0 mv:3 misc:117 imb:0 pmb:1 smb:431 d:- ref:0 ;
in:25 out:26 type:b dur:2 cpbdur:2 q:46.47 aq:51.00 tex:1 mv:3 misc:116 imb:0 pmb:1 smb:431 d:- ref:0 ;
in:30 out:27 type:P dur:2 cpbdur:2 q:47.81 aq:40.65 tex:212 mv:185 misc:187 imb:10 pmb:11 smb:411 d:- ref:0 ;
in:28 out:28 type:B dur:2 cpbdur:2 q:47.78 aq:50.00 tex:0 mv:6 misc:130 imb:0 pmb:2 smb:430 d:- ref:0 ;
in:27 out:29 type:b dur:2 cpbdur:2 q:47.76 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:29 out:30 type:b dur:2 cpbdur:2 q:47.80 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:34 out:31 type:P dur:2 cpbdur:2 q:48.28 aq:46.91 tex:208 mv:122 misc:190 imb:7 pmb:8 smb:417 d:- ref:0 ;
in:32 out:32 type:B dur:2 cpbdur:2 q:48.27 aq:51.00 tex:0 mv:10 misc:142 imb:0 pmb:4 smb:428 d:- ref:0 ;
in:31 out:33 type:b dur:2 cpbdur:2 q:48.26 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:33 out:34 type:b dur:2 cpbdur:2 q:48.28 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:38 out:35 type:P dur:2 cpbdur:2 q:48.66 aq:39.41 tex:324 mv:294 misc:190 imb:20 pmb:16 smb:396 d:- ref:0 ;
in:36 out:36 type:B dur:2 cpbdur:2 q:48.65 aq:51.00 tex:14 mv:18 misc:144 imb:0 pmb:4 smb:428 d:- ref:0 ;
in:35 out:37 type:b dur:2 cpbdur:2 q:48.65 aq:51.00 tex:7 mv:27 misc:134 imb:1 pmb:4 smb:427 d:- ref:0 ;
in:37 out:38 type:b dur:2 cpbdur:2 q:48.66 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:42 out:39 type:P dur:2 cpbdur:2 q:48.79 aq:47.46 tex:164 mv:131 misc:169 imb:8 pmb:7 smb:417 d:- ref:0 ;
in:40 out:40 type:B dur:2 cpbdur:2 q:48.79 aq:51.00 tex:15 mv:11 misc:150 imb:0 pmb:4 smb:428 d:- ref:0 ;
in:39 out:41 type:b dur:2 cpbdur:2 q:48.78 aq:51.00 tex:1 mv:3 misc:116 imb:0 pmb:1 smb:431 d:- ref:0 ;
in:41 out:42 type:b dur:2 cpbdur:2 q:48.79 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:43 out:43 type:P dur:2 cpbdur:2 q:49.34 aq:47.27 tex:122 mv:129 misc:173 imb:4 pmb:9 smb:419 d:- ref:0 ;
in:47 out:44 type:P dur:2 cpbdur:2 q:48.95 aq:45.57 tex:142 mv:160 misc:170 imb:9 pmb:6 smb:417 d:- ref:0 ;
in:45 out:45 type:B dur:2 cpbdur:2 q:49.33 aq:51.00 tex:1 mv:3 misc:132 imb:0 pmb:1 smb:431 d:- ref:0 ;
in:44 out:46 type:b dur:2 cpbdur:2 q:49.34 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:46 out:47 type:b dur:2 cpbdur:2 q:49.33 aq:51.00 tex:10 mv:6 misc:112 imb:0 pmb:1 smb:431 d:- ref:0 ;
in:51 out:48 type:P dur:2 cpbdur:2 q:50.45 aq:49.06 tex:187 mv:123 misc:154 imb:9 pmb:4 smb:419 d:- ref:0 ;
in:49 out:49 type:B dur:2 cpbdur:2 q:50.41 aq:51.00 tex:13 mv:7 misc:140 imb:0 pmb:3 smb:429 d:- ref:0 ;
in:48 out:50 type:b dur:2 cpbdur:2 q:50.39 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:50 out:51 type:b dur:2 cpbdur:2 q:50.43 aq:51.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:55 out:52 type:P dur:2 cpbdur:2 q:50.58 aq:42.91 tex:297 mv:164 misc:211 imb:11 pmb:14 smb:407 d:- ref:0 ;
in:53 out:53 type:B dur:2 cpbdur:2 q:50.57 aq:51.00 tex:1 mv:39 misc:136 imb:0 pmb:3 smb:429 d:- ref:0 ;
in:52 out:54 type:b dur:2 cpbdur:2 q:50.57 aq:51.00 tex:0 mv:3 misc:117 imb:0 pmb:1 smb:431 d:- ref:0 ;
in:54 out:55 type:b dur:2 cpbdur:2 q:50.58 aq:51.00 tex:1 mv:6 misc:121 imb:0 pmb:2 smb:430 d:- ref:0 ;
in:59 out:56 type:P dur:2 cpbdur:2 q:57.07 aq:51.00 tex:19 mv:44 misc:137 imb:2 pmb:2 smb:428 d:- ref:0 ;
in:57 out:57 type:B dur:2 cpbdur:2 q:56.89 aq:51.00 tex:1 mv:3 misc:132 imb:0 pmb:1 smb:431 d:- ref:0 ;
